"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"05/07/2024","63,30","63,60","-0,41","63,19","63,85","832,70M"
"04/07/2024","64,64","63,86","-0,50","63,83","64,70","508,21M"
"03/07/2024","63,08","64,18","1,99","63,45","64,84","3,19B"
"02/07/2024","62,71","62,93","-0,33","62,46","63,34","2,73B"
"01/07/2024","n/d","63,14","1,48","62,60","63,33","1,15B"
"28/06/2024","61,68","62,22","1,07","61,64","62,55","1,40B"
"27/06/2024","61,45","61,56","0,26","60,86","61,56","838,18M"
"26/06/2024","61,07","61,40","1,24","60,91","61,58","1,05B"
"25/06/2024","60,99","60,65","-0,41","60,28","61,04","844,37M"
"24/06/2024","60,47","60,90","0,12","60,40","61,08","830,59M"
"21/06/2024","61,03","60,83","-0,93","60,74","61,36","2,58B"
"20/06/2024","61,05","61,40","0,90","60,82","61,62","1,19B"
"19/06/2024","60,51","60,85","0,31","60,37","61,08","1,20B"
"18/06/2024","60,35","60,66","0,46","60,22","60,88","740,79M"
"17/06/2024","60,04","60,38","-0,40","59,84","60,45","837,71M"
"14/06/2024","60,85","60,62","-0,35","60,26","60,88","742,03M"
"13/06/2024","60,32","60,83","1,15","60,22","61,05","829,27M"
"12/06/2024","61,16","60,14","-1,38","59,91","61,45","1,32B"
"11/06/2024","60,40","60,98","-0,15","59,71","61,04","1,48B"
"10/06/2024","60,60","61,07","1,09","60,40","61,31","894,55M"
"07/06/2024","60,69","60,41","-1,31","60,27","60,87","891,66M"
"06/06/2024","60,77","61,21","1,39","60,36","61,33","1,09B"
"05/06/2024","61,10","60,37","-1,42","60,31","61,18","2,30B"
"04/06/2024","61,39","61,24","-1,02","60,70","61,40","1,21B"
"03/06/2024","62,84","61,87","-2,10","61,69","62,85","1,16B"
"31/05/2024","62,89","63,20","-0,06","62,79","63,45","1,48B"
"29/05/2024","63,44","63,24","-1,02","62,97","63,73","1,04B"
"28/05/2024","65,28","63,89","-2,16","63,35","65,29","1,42B"
"27/05/2024","64,91","65,30","0,34","64,71","65,30","330,38M"
"24/05/2024","65,00","65,08","0,05","64,90","65,66","763,37M"
"23/05/2024","65,22","65,05","-0,60","64,58","65,40","1,07B"
"22/05/2024","66,00","65,44","-0,79","65,08","66,35","1,14B"
"21/05/2024","66,75","65,96","-0,29","65,90","67,10","1,53B"
"20/05/2024","66,14","66,15","-0,05","65,72","66,60","1,47B"
"17/05/2024","65,25","66,18","1,96","65,17","66,35","2,88B"
"16/05/2024","64,98","64,91","0,73","64,41","65,18","1,08B"
"15/05/2024","64,45","64,44","-0,29","63,46","64,64","2,09B"
"14/05/2024","64,47","64,63","-0,06","64,02","64,75","855,79M"
"13/05/2024","64,70","64,67","0,59","64,39","65,05","935,31M"
"10/05/2024","64,75","64,29","-0,34","64,16","64,95","880,42M"
"09/05/2024","63,90","64,51","0,81","63,78","64,93","1,27B"
"08/05/2024","63,65","63,99","-0,91","63,59","64,23","2,38B"
"07/05/2024","64,75","64,58","0,62","64,30","65,18","1,38B"
"06/05/2024","64,22","64,18","0,30","63,95","64,70","859,99M"
"03/05/2024","64,17","63,99","0,11","63,35","64,42","1,51B"
"02/05/2024","63,70","63,92","1,00","63,22","64,25","1,13B"
"30/04/2024","63,50","63,29","-0,95","62,93","63,74","984,73M"
"29/04/2024","62,88","63,90","1,85","62,80","63,95","1,17B"
"26/04/2024","62,60","62,74","0,84","62,35","63,16","973,95M"
"25/04/2024","62,68","62,22","-2,11","61,91","63,04","1,69B"
"24/04/2024","63,56","63,56","1,24","63,15","64,09","1,60B"
"23/04/2024","62,66","62,78","-0,87","62,01","63,09","1,45B"
"22/04/2024","63,03","63,33","-0,05","62,30","63,58","1,71B"
"19/04/2024","62,24","63,36","1,64","62,09","63,55","2,06B"
"18/04/2024","62,69","62,34","0,37","61,91","62,72","1,24B"
"17/04/2024","63,04","62,11","1,09","61,96","63,47","2,14B"
"16/04/2024","61,13","61,44","-0,89","60,70","61,60","1,83B"
"15/04/2024","62,30","61,99","0,58","61,96","62,85","1,78B"
